Frame_Pair,MSE,Inverse SSIM,LPIPS
101_vs_102,34.601576,0.040023,0.016993
102_vs_103,32.245941,0.034462,0.017324
103_vs_104,33.587713,0.037954,0.017979
104_vs_105,34.265870,0.038655,0.018388
105_vs_106,36.274658,0.040932,0.017894
106_vs_107,38.580926,0.037504,0.017485
107_vs_108,35.954119,0.031742,0.015703
108_vs_109,37.681208,0.038845,0.021628
109_vs_110,35.245876,0.034995,0.015111
110_vs_111,30.160115,0.028234,0.013199
111_vs_112,36.315306,0.032808,0.015608
112_vs_113,31.502945,0.029207,0.014901
113_vs_114,40.762930,0.039473,0.015713
114_vs_115,45.927016,0.050867,0.018397
115_vs_116,49.162440,0.053214,0.019601
116_vs_117,42.449658,0.044575,0.016884
117_vs_118,33.252857,0.036285,0.015928
118_vs_119,25.452099,0.024947,0.011266
119_vs_120,22.145123,0.022542,0.011934
120_vs_121,27.706685,0.032569,0.014795
121_vs_122,31.370668,0.039342,0.017142
122_vs_123,34.661340,0.047336,0.018198
123_vs_124,36.769651,0.047859,0.017994
124_vs_125,28.822652,0.038983,0.015063
125_vs_126,20.761871,0.036142,0.012963
126_vs_127,15.667904,0.027666,0.010013
127_vs_128,10.063961,0.018214,0.009412
128_vs_129,6.346108,0.011601,0.006485
129_vs_130,5.913817,0.011675,0.006706
130_vs_131,6.560757,0.014639,0.008132
131_vs_132,10.942100,0.023853,0.011194
132_vs_133,15.232512,0.032640,0.012532
133_vs_134,15.361298,0.034623,0.012909
134_vs_135,10.974861,0.022694,0.009966
135_vs_136,3.203929,0.006401,0.004568
136_vs_137,6.761460,0.011139,0.005964
137_vs_138,9.813813,0.016772,0.007535
138_vs_139,10.927187,0.013700,0.007396
139_vs_140,12.845992,0.015927,0.008948
140_vs_141,14.179271,0.017445,0.008776
141_vs_142,21.608487,0.017616,0.008677
142_vs_143,24.098414,0.018160,0.012161
143_vs_144,28.966305,0.023248,0.017339
144_vs_145,49.122850,0.028889,0.022729
145_vs_146,81.123377,0.034917,0.028454
146_vs_147,99.871533,0.042386,0.030827
147_vs_148,107.864391,0.036383,0.029467
148_vs_149,120.184574,0.035047,0.029105
149_vs_150,144.617895,0.039831,0.033321
150_vs_151,171.121570,0.046748,0.040547
151_vs_152,190.416332,0.046741,0.038947
152_vs_153,199.815204,0.059192,0.059515
153_vs_154,201.183529,0.052342,0.043247
154_vs_155,205.575518,0.059729,0.042861
155_vs_156,211.333996,0.059093,0.044115
156_vs_157,206.024912,0.054516,0.042302
157_vs_158,193.361164,0.042384,0.038573
158_vs_159,160.245456,0.037962,0.036026
159_vs_160,137.114479,0.039972,0.034434
160_vs_161,112.086978,0.037100,0.030541
161_vs_162,90.073156,0.029561,0.025307
162_vs_163,70.862158,0.027042,0.024275
163_vs_164,74.986525,0.027375,0.023049
164_vs_165,85.623216,0.030621,0.022770
165_vs_166,92.910147,0.034769,0.024794
166_vs_167,93.412634,0.037334,0.023300
167_vs_168,73.458631,0.034037,0.022129
168_vs_169,54.646806,0.033751,0.019274
169_vs_170,36.657669,0.024603,0.015156
170_vs_171,33.816975,0.031068,0.015189
